NPI,LOT_TYPE,LOT,COMMIT,OPERATION,OPER_SHORT,OPER_LONG,OUT_DATE,ORDER,LAYER,PLAN,SCALED_OUT_DATE,SCALED_PLAN
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,204056,L 8ZRObaSE,L P1278 ZRO ba 1ST LYR SED (ZRO),2025-07-12 17:35:49,1,ZRO,2025-07-14 07:35:48.999999997,23.567916666666665,25.15124999999997
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,213233,L 8b NDRaS,L P1278b NDR a SED (ZRO),2025-07-16 12:42:24,2,NDR,2025-07-15 21:35:49.000000002,27.364155092592593,26.734583333333354
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,213234,L 8b PDRaS,L P1278b PDR a SED (ZRO),2025-07-16 19:06:17,3,PDR,2025-07-17 11:35:49.000000000,27.63074074074074,28.317916666666665
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,213666,L 8bDPRdSE,L P1278 DPRb d SED (ZRO),2025-07-18 17:02:25,4,DPR,2025-07-19 01:35:48.999999997,29.544722222222223,29.90124999999997
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,211888,L 8bDNUcSE,L P1278b c DNU SED (DPR),2025-07-22 16:26:43,5,DNU,2025-07-20 15:35:49.000000002,33.519930555555554,31.484583333333354
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,204091,L 8b PDI S,"L P1278b PDI SED (DNU,DPR)",2025-07-25 19:39:17,6,PDI,2025-07-22 05:35:49.000000000,36.65365740740741,33.06791666666667
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,204095,L 8b NDI S,"L P1278b NDI SED (DNU,DPR)",2025-07-26 11:15:09,7,NDI,2025-07-23 19:35:48.999999997,37.30356481481481,34.65124999999997
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,257029,L 8PLYrSE,"L P1278 PLY r SED (DNU,DPR)",2025-07-31 01:15:08,8,PLY,2025-07-25 09:35:49.000000002,41.886886574074076,36.234583333333354
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,210621,L 8b PS1 S,"L P1278b PS1 SED (PLY,DPR)",2025-08-04 13:33:43,9,PS1,2025-07-26 23:35:49.000000000,46.399791666666665,37.81791666666667
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,210622,L 8b PS2 S,"L P1278b PS2 SED (PLY,DPR)",2025-08-07 19:34:46,10,PS2,2025-07-28 13:35:48.999999997,49.65052083333333,39.40124999999997
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,234119,L 8d NESdS,"L P1278d NES d SED (PLY,DPR)",2025-08-13 12:40:04,11,NES,2025-07-30 03:35:49.000000002,55.36253472222222,40.984583333333354
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,228847,L 8c FT1cS,"L P1278C FT1 SED (PLY,DPR)",2025-08-16 00:02:29,12,FT1,2025-07-31 17:35:49.000000000,57.83643518518519,42.56791666666667
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,228848,L 8c FT2cS,"L P1278C FT2 SED (PLY,DPR)",2025-08-16 16:06:11,13,FT2,2025-08-02 07:35:48.999999997,58.5056712962963,44.15124999999997
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,240707,L 8c FTPmS,"L P1278C FTP m SED (PLY,DPR)",,14,FTP,2025-08-03 21:35:49.000000002,,45.734583333333354
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,234550,L 8s PBMbS,"L P1278 s PBM b SED (DPR,PLY)",,22,PBM,2025-08-16 13:35:48.999999997,,58.40124999999997
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,235101,L 8s NBMnS,"L P1278 s NBM box SED (DPR,PLY)",,23,NBM,2025-08-18 03:35:49.000000002,,59.984583333333354
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,261262,L 8TPAdyS,"L P1278 dyDGN TPA SED (PLY,DPR)",,24,TPA,2025-08-19 17:35:49.000000000,,61.56791666666667
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,261263,L 8TPBdyS,"L P1278 dyDGN TPB SED (TPA,PLY,DPR)",,25,TPB,2025-08-21 07:35:48.999999997,,63.15124999999997
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,218701,L 8b NSDbS,"L P1278b NSD Bx SED (PLY,DPR)",,26,NSD,2025-08-22 21:35:49.000000002,,64.73458333333336
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,218702,L 8b PSDbS,"L P1278b PSD Bx SED (PLY,DPR)",,27,PSD,2025-08-24 11:35:49.000000000,,66.31791666666666
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,261264,L 8GC1dyS,"L P1278 dy GC1 SED (TPAB,PLY)",,28,GC1,2025-08-26 01:35:48.999999997,,67.90124999999996
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,261265,L 8GC2dyS,"L P1278 dy GC2 SED (TPAB,PLY)",,29,GC2,2025-08-27 15:35:49.000000002,,69.48458333333336
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,261266,L 8PCTdyS,"L P1278 dy PCT SED (TPAB,PLY,DPR)",,30,PCT,2025-08-29 05:35:49.000000000,,71.06791666666666
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,261267,L 8PCLdyS,"L P1278 dy PCL SED (PLY,DPR)",,31,PCL,2025-08-30 19:35:48.999999997,,72.65124999999996
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,261268,L 8DVGdyS,"L P1278 dyDGN DVG SED (PCL,PLY)",,32,DVG,2025-09-01 09:35:49.000000002,,74.23458333333336
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,261269,L 8DVPdyS,"L P1278 dyDGN DVP SED (DVG,PLY)",,33,DVP,2025-09-02 23:35:49.000000000,,75.81791666666666
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,261270,L 8TLKdyS,"L P1278 dyDGN TLK SED (PLY,DVG)",,34,TLK,2025-09-04 13:35:48.999999997,,77.40124999999996
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,261392,L 8VCGdyS,"L P1278 VCG dy SED (TLK,PCTL,PLY)",,35,VCG,2025-09-06 03:35:49.000000002,,78.98458333333336
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,261393,L 8VCTdyS,"L P1278 VCT dy SED(VCG,TLK,TPAB,PLY",,36,VCT,2025-09-07 17:35:49.000000000,,80.56791666666666
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,249446,L #8MT0dlS,"L #P1278 dlDGN MT0 SED (VCT,VCG)",,37,MT0,2025-09-09 07:35:48.999999997,,82.15124999999996
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,249070,L #8VA0daS,L #P1278 daDGN VA0 SED (MT0),,38,VA0,2025-09-10 21:35:49.000000002,,83.73458333333336
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,251775,L #8MT1deS,L #P1278 deDGN MT1 SED (VA0) Clippe,,39,MT1,2025-09-12 11:35:49.000000000,,85.31791666666666
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,260126,L #8cTFRgS,L #P1278c FL G-CHM TFR SED (MT1),,40,TFR,2025-09-14 01:35:48.999999997,,86.90124999999996
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,260270,L #8MT2wS,L #P1278 w DD WB DGN MT2 SED (MT1),,41,MT2,2025-09-15 15:35:49.000000002,,88.48458333333336
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,260803,L #8VA1wS,"L #P1278 w VA1 SED (MT2,MT1)",,42,VA1,2025-09-17 05:35:49.000000000,,90.06791666666666
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,265238,L #8MT3gS,L #P1278 g Drgn Apollo MT3 SED (MT2,,43,MT3,2025-09-18 19:35:48.999999997,,91.65124999999996
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,260806,L #8VA2wS,"L #P1278 w VA2 SED (MT3,MT2)",,44,VA2,2025-09-20 09:35:49.000000002,,93.23458333333336
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,265240,L #8MT4gS,L #P1278 g Drgn Apollo MT4 SED (MT3,,45,MT4,2025-09-21 23:35:49.000000000,,94.81791666666666
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,260810,L #8VA3wS,"L #P1278 w VA3 SED (MT4,MT3)",,46,VA3,2025-09-23 13:35:48.999999997,,96.40124999999996
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,249526,L #86MT5 d,L #P1278.6 d MT5 SED (MT4),,47,MT5,2025-09-25 03:35:49.000000002,,97.98458333333336
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,249553,L #86VA4,"L #P1278.6 d VA4 SED (MT5,MT4)",,48,VA4,2025-09-26 17:35:49.000000000,,99.56791666666666
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,243912,L #86MT6 S,L #P1278.6 MT6 SED (MT5),,49,MT6,2025-09-28 07:35:48.999999997,,101.15124999999996
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,243953,L #8VA5fS,"L #P1278 f VA5 SED (MT6,MT5)",,50,VA5,2025-09-29 21:35:49.000000002,,102.73458333333336
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,243913,L #86MT7 S,L #P1278.6 MT7 SED (MT6),,51,MT7,2025-10-01 11:35:49.000000000,,104.31791666666666
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,243954,L #8VA6fS,"L #P1278 f VA6 SED (MT7,MT6)",,52,VA6,2025-10-03 01:35:48.999999997,,105.90124999999996
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,243914,L #86MT8 S,L #P1278.6  MT8 SED (MT7),,53,MT8,2025-10-04 15:35:49.000000002,,107.48458333333336
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,243955,L #8VA7fS,"L #P1278 f VA7 SED (MT8,MT7)",,54,VA7,2025-10-06 05:35:49.000000000,,109.06791666666666
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,243915,L #86MT9 S,L #P1278.6 MT9 SED (MT8),,55,MT9,2025-10-07 19:35:48.999999997,,110.65124999999996
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,243956,L #8VA8fS,"L #P1278 f VA8 SED (MT9,MT8)",,56,VA8,2025-10-09 09:35:49.000000002,,112.23458333333336
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,243916,L #86M10 S,L #P1278.6 M10 SED (MT9),,57,M10,2025-10-10 23:35:49.000000000,,113.81791666666666
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,243957,L #8VA9fS,"L #P1278 f VA9 SED (M10,MT9)",,58,VA9,2025-10-12 13:35:48.999999997,,115.40124999999996
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,258787,L #8cM11dS,L #P1278c d M11 SED (M10),,59,M11,2025-10-14 03:35:49.000000002,,116.98458333333336
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,243958,L #8V10fS,"L #P1278 f V10 SED (M11,M10)",,60,V10,2025-10-15 17:35:49.000000000,,118.56791666666666
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,258791,L #8cM12dS,L #P1278c d M12 SED (M11),,61,M12,2025-10-17 07:35:48.999999997,,120.15124999999996
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,243959,L #8V11fS,"L #P1278 f V11 SED (M12,M11)",,62,V11,2025-10-18 21:35:49.000000002,,121.73458333333336
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,221050,L #8cM13nS,L #P1278c n M13 SED (M12),,63,M13,2025-10-20 11:35:49.000000000,,123.31791666666666
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,248909,L #8V12fS,"L #P1278 f V12 SED (M13,M12)",,64,V12,2025-10-22 01:35:48.999999997,,124.90124999999996
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,221052,L #8cM14nS,L #P1278c n M14 SED (M13),,65,M14,2025-10-23 15:35:49.000000002,,126.48458333333336
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,221053,L #8cV13nS,"L #P1278c n V13 SED (M14,M13)",,66,V13,2025-10-25 05:35:49.000000000,,128.06791666666666
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,232502,L #8BKRnkS,"L #P1278 BKR NTKey SED (DNU,DPR)",,67,BKR,2025-10-26 19:35:48.999999997,,129.65124999999995
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,257413,L #8BM0bmS,L #P1278 BM0 FSM SED (DVG) BCN LOOP,,68,BM0,2025-10-28 09:35:49.000000002,,131.23458333333335
NPI 18A Panther Lake G-1 (8PXMCV A G),EF Scout 2,A528920C,2025-11-22 18:00:00,255739,L #8BCNnkS,L #P1278 BCN NTKey SED (BM0),,69,BCN,2025-10-29 23:35:49.000000000,,132.81791666666666
